FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
FS8_SEV12_GIS_TIME;90;0,012093830356662795;0,0061631284016953735;0,008015671582742677;0,07549666778926734;0,056942815212619145;0,05646527822112046;0,10997195259093473;0,07850559471588871;0,08953028304848967;0,03146635787504602;43,46720743969672;56,53279256030328
FS8_SEV12_GIS_TIME;105;0,0144295413676924;0,006110023539154223;0,009386215624092444;0,08166693937761635;0,055576096346702034;0,06087520741834717;0,12012302596793173;0,07816663955393134;0,09688248357723105;0,04195638641400039;39,42907356286628;60,57092643713371
FS8_SEV12_GIS_TIME;120;0,020964990999937233;0,011474386445554081;0,009401935474230443;0,09719988561887075;0,07023016078519165;0,06395885630024623;0,14479292455067422;0,10711856256295675;0,09696357808079507;0,03767436198771747;54,96364009734774;45,036359902652265
FS8_SEV12_GIS_TIME;135;0,01812833995640757;0,008572059224537496;0,010507993288178889;0,0940059118516208;0,06440901117816517;0,07191714818114378;0,13464152389366207;0,09258541583066686;0,1025085034920464;0,042056108062995215;44,92681148977148;55,07318851022853
FS8_SEV12_GIS_TIME;150;0,027505236880155735;0,012525598827340183;0,010535715852512225;0,1185945497081355;0,07421807247964582;0,07532428045182853;0,1658470285538928;0,11191782175927202;0,10264363522650698;0,05392920679462078;54,31433116986696;45,68566883013303
FS8_SEV12_GIS_TIME;165;0,02624192382177195;0,008362177744606987;0,012031530625076175;0,11700458195343712;0,06557899333943792;0,08483463020557269;0,16199359191576668;0,09144494378918382;0,10968833404276034;0,07054864812658286;41,00371346408982;58,99628653591018
FS8_SEV12_GIS_TIME;180;0,018868072877386358;0,006963295056908207;0,008865251494443631;0,1017684637851972;0,06123711299329344;0,07540685143569865;0,13736110394644604;0,0834463603574668;0,09415546449592627;0,05391474358897924;43,99200542082309;56,00799457917691
FS9_SEV12_GIS_SENSOR_TIME;0;0,0043796611004779966;0,0043796611004779966;0,0;0,04036824573335358;0,04036824573335358;0,0;0,06617900800463843;0,06617900800463843;0,0;0,0;100,0;0,0
FS9_SEV12_GIS_SENSOR_TIME;15;0,006007481871734967;0,006149203593074992;0,00022141657302731057;0,04842024995215949;0,04883951836853411;0,008575783094687237;0,07750794715211445;0,07841685783729792;0,014880073018211657;-0,0009089106851834644;96,52441101094905;3,4755889890509435
FS9_SEV12_GIS_SENSOR_TIME;30;0,010372047697531453;0,011110423555458859;0,0004859507398631936;0,06975301652643705;0,07066478772309924;0,01189904539049065;0,10184325062335478;0,10540599392567226;0,022044290414145646;-0,0035627433023174837;95,80945968552234;4,190540314477645
FS9_SEV12_GIS_SENSOR_TIME;45;0,016733538487459232;0,018100969316655516;0,0008959914937836166;0,08631643358635958;0,0899304646454825;0,01691438484479582;0,12935817905126537;0,13453984285948722;0,029933117007482142;-0,005181663808221854;95,28350085719367;4,716499142806333
FS9_SEV12_GIS_SENSOR_TIME;60;0,025285098944880267;0,02633036334383597;0,001322386915204311;0,10335144578696391;0,10673515214731033;0,021220310339709947;0,15901288924134505;0,16226633459789486;0,036364638252075476;-0,003253445356549811;95,21788284052508;4,782117159474922
FS9_SEV12_GIS_SENSOR_TIME;75;0,03487665801992639;0,03487648156082624;0,0017896849180283991;0,12887987633692552;0,12924396623025805;0,02522581333307127;0,18675293309591257;0,18675246065534515;0,04230466780425535;4,724405674172427e-07;95,11897454821052;4,881025451789485
FS9_SEV12_GIS_SENSOR_TIME;90;0,041012196464986606;0,04209931845257316;0,002674590100911981;0,140758248778619;0,14316038550409402;0,033062101934177746;0,2025146820973398;0,20518118445065367;0,05171643936807697;-0,0026665023533138654;94,02645382697152;5,973546173028475
FS9_SEV12_GIS_SENSOR_TIME;105;0,037891574964798315;0,03760797617188772;0,0031821536597019255;0,14051970758839633;0,1402189844084559;0,03706588547159394;0,19465758388718976;0,19392776018891086;0,05641058109700631;0,0007298236982788975;92,19871652078557;7,801283479214444
FS9_SEV12_GIS_SENSOR_TIME;120;0,03391630456438226;0,0318234107640076;0,003852030852546743;0,13339812341040647;0,1291515714061314;0,04271582481382552;0,18416379819167028;0,17839117344758848;0,06206473114858988;0,0057726247440818;89,20256995288518;10,797430047114819
FS9_SEV12_GIS_SENSOR_TIME;135;0,02907403655352611;0,026335432406243135;0,004473003829050233;0,1266330660918748;0,12221598931304253;0,04534718525293751;0,17051110390096627;0,16228195342133128;0,06688051905488049;0,008229150479634989;85,48123703881447;14,518762961185521
FS9_SEV12_GIS_SENSOR_TIME;150;0,0290550082529995;0,0199164044278816;0,004813116393454931;0,12822974210857174;0,10872237009320516;0,049480946918591125;0,17045529693441475;0,14112549177197437;0,06937662714095383;0,02932980516244038;80,5369605491822;19,4630394508178
FS9_SEV12_GIS_SENSOR_TIME;165;0,03241961004517998;0,023522986357165016;0,005085455828140993;0,13515602151099393;0,1171954299945161;0,050683877504283;0,18005446410789147;0,1533720520732673;0,07131238201140805;0,02668241203462418;82,22393307821211;17,77606692178789
FS9_SEV12_GIS_SENSOR_TIME;180;0,03607426815875863;0,02894120975993057;0,005360798762302811;0,1470791913417179;0,13396736429526257;0,05060600576987087;0,18993227255724243;0,17012116199911922;0,07321747579849233;0,019811110558123207;84,37176423990414;15,628235760095874
