SCENARIO;FEATURE_SET;LEADTIME_MIN;MSE_TOTAL;MSE_REG;MSE_CMV;MAE_TOTAL;MAE_REG;MAE_CMV;RMSE_TOTAL;RMSE_REG;RMSE_CMV;DELTA_RMSE;SHARE_REG_PCT;SHARE_CMV_PCT
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;30;0,004303659825254021;0,004319615975518539;9,193722542342056e-05;0,0435878511888984;0,04202527882328969;0,004047982144489217;0,06560228521365716;0,06572378546248336;0,009588390137213888;-0,00012150024882620625;97,9159896472791;2,084010352720897
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;45;0,008783055364926589;0,008254008262674993;5,8801609701129666e-05;0,06919908804890032;0,06648301655701255;0,004264126462278081;0,09371795647007349;0,09085157270336597;0,007668220765022983;0,002866383766707517;99,29263858305566;0,7073614169443515
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;60;0,015194740480916987;0,014470821198633115;0,00013443639763371628;0,09791994055058345;0,09367365771995904;0,006474593077410958;0,12326694804738611;0,1202947263957698;0,011594671087776327;0,0029722216516163136;99,07953422425032;0,920465775749678
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;75;0,02290776329363166;0,01990753805586513;0,0004695151553655266;0,12672874531321182;0,11447654335602106;0,01741355365670439;0,15135310797480064;0,1410940751975969;0,021668298395709953;0,010259032777203747;97,69586332970482;2,3041366702951773
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;90;0,035423858496599646;0,028987612824740272;0,0007983769097575002;0,16394169305087633;0,14495546505506973;0,02546410044001888;0,18821226978228503;0,17025748977575192;0,02825556422649352;0,01795478000653311;97,31962269216513;2,6803773078348634
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;105;0,04809785831845555;0,039459109321978623;0,0011058828697241133;0,19752082376941338;0,17426222760347715;0,029916760827929004;0,2193122393266175;0,1986431708415334;0,03325481724087675;0,020669068485084097;97,27379987034655;2,7262001296534533
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;120;0,05878829261301429;0,047949810415292754;0,0014636755774298268;0,22068629654041294;0,19470836133889105;0,0338066258505091;0,24246297163281302;0,2189744515127113;0,038258013244676294;0,02348852012010172;97,03790261297212;2,962097387027888
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;135;0,07016139761066355;0,050601905141304845;0,0033724084936610776;0,24379513086635704;0,19949196837834135;0,05317893413715621;0,26487996830765353;0,22494867223725692;0,058072441774572194;0,03993129607039661;93,75182699595027;6,248173004049738
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;150;0,07398684753464094;0,04844460065345839;0,005726984395673664;0,2509514729838661;0,19374304393621586;0,0710405493928328;0,2720052343883127;0,22010134178023175;0,07567684187169589;0,051903892608080954;89,42806567229027;10,57193432770973
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;165;0,07424781186931113;0,04975606071578833;0,006114551512827111;0,2509036831441439;0,19556658019782389;0,0729578697568313;0,2724845167515232;0,2230606659987106;0,07819559778419186;0,04942385075281258;89,05587164893211;10,9441283510679
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS6_SEV4_GIS_SENSOR_TIME;180;0,07606950711689374;0,04828782770187797;0,007716706097623253;0,25430205195769134;0,1918062654356347;0,0827836401019625;0,27580701063768076;0,21974491507627195;0,08784478412303859;0,056062095561408815;86,22128321744556;13,778716782554445
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;0;0,002400534753496555;0,002400534753496555;0,0;0,019222381092002284;0,019222381092002284;0,0;0,04899525235669835;0,04899525235669835;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;15;0,0044427502294328205;0,003920869099013224;0,00018806454195793542;0,028387979455030764;0,025008504507788017;0,010256748562468622;0,0666539588429136;0,06261684357274186;0,013713662601870276;0,00403711527017174;95,4230328744495;4,576967125550506
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;30;0,00791372830857183;0,006255934906468;0,000739660397060321;0,04837773136300584;0,042571867798333766;0,023269947896252818;0,08895913842080436;0,07909446824189413;0,027196698274980384;0,009864670178910226;89,42676977487157;10,573230225128425
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;45;0,012435463060787917;0,008367247890841298;0,0030367713115873663;0,07137632060220155;0,05533624784143299;0,05118699716543084;0,11151440741351727;0,09147266198619836;0,055106908020568224;0,020041745427318916;73,37104350946166;26,628956490538343
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;60;0,017881647336579192;0,010642182400765757;0,005059744563715006;0,09414300985978265;0,06614299006435477;0,06821263131143442;0,13372227688975083;0,10316095385738616;0,07113188148583591;0,030561323032364668;67,7762826488709;32,223717351129096
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;75;0,02390011225020428;0,012634103283505373;0,008397124734512713;0,11630294604493152;0,07522804172005071;0,08847669481452722;0,15459661138008257;0,11240152705148349;0,09163582669738246;0,042195084328599086;60,07306502825872;39,92693497174128
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;90;0,034090117980141506;0,015494811120927654;0,012421356684816457;0,14811820758140662;0,08612804895071798;0,10874599351811765;0,18463509411848417;0,12447815519571157;0,11145114034776162;0,0601569389227726;55,50479288113248;44,495207118867526
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;105;0,04752893231102255;0,016963956259351768;0,01798109121617616;0,18389752346336805;0,0943043361081904;0,13168062235941327;0,21801131234645268;0,1302457533255951;0,1340935912569134;0,08776555902085759;48,54466508088636;51,45533491911364
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;120;0,057650553683451254;0,019235620921510196;0,024164477150007666;0,20779201482518314;0,1012443176068237;0,152741426727109;0,24010529707495262;0,1386925409728663;0,15544927516719936;0,10141275610208633;44,3216070383351;55,678392961664905
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;135;0,07100606212569542;0,021106770615733;0,028536042061935843;0,23433319595894206;0,11211974562565942;0,16700251816785824;0,26646962702284743;0,14528169401453508;0,16892614380828044;0,12118793300831235;42,51727385549127;57,482726144508725
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;150;0,08440174579219652;0,02227897505967902;0,035500723684594504;0,26100809730476904;0,11622242644214416;0,18667025240086046;0,29051978554342306;0,1492614319229151;0,18841635726389178;0,14125835362050795;38,558482553332915;61,44151744666709
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;165;0,08824019282478758;0,024185031526566207;0,03688697965322898;0,26788475368130005;0,12084608082165227;0,18944884720605923;0,2970525085313834;0,1555153739235006;0,19205983352390207;0,14153713460788278;39,60084342951438;60,39915657048562
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS7_SEV12_TIME;180;0,09037816565858917;0,022700712836474648;0,04399588861316463;0,2719452448486033;0,11747933433307692;0,20598164467973315;0,30062961540505145;0,15066755734555018;0,20975196927124337;0,14996205805950127;34,035786446503295;65,96421355349669
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;0;0,00046918534707811094;0,00046918534707811094;0,0;0,014345454208622458;0,014345454208622458;0,0;0,021660686671435673;0,021660686671435673;0,0;0,0;100,0;0,0
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;15;0,0012527047230604929;0,0010918387963818707;7,302370347587568e-05;0,02296195090748855;0,02239843433582816;0,005928097754940951;0,03539356895059458;0,0330429840719913;0,008545390773737364;0,002350584878603283;93,731131057546;6,268868942454013
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;30;0,002728281118259145;0,002466329663293599;0,0004950193883899284;0,03645753837931988;0,03362649797668676;0,01681643638954456;0,05223295050309857;0,0496621552421318;0,022249031178681204;0,0025707952609667697;83,28399051410337;16,71600948589663
SC1 29.01.2018 07:00 Clear winter morning with shadows;FS8_SEV12_GIS_TIME;45;0,003846953019391246;0,003754781889680611;0,0013346254486827588;0,04443909401677945;0,04609933767988327;0,03322515423920478;0,06202381010056739;0,06127627509632591;0,036532525900665;0,0007475350042414827;73,77640735056703;26,223592649432977
